1. Zeile und 17.Spalte, Wert:32082.302848432642
1. Zeile und 18.Spalte, Wert:31748.500548654734
1. Zeile und 19.Spalte, Wert:32323.833810039898
1. Zeile und 20.Spalte, Wert:31712.069295952075
1. Zeile und 21.Spalte, Wert:31688.0135014003
1. Zeile und 22.Spalte, Wert:31719.790321603912
1. Zeile und 23.Spalte, Wert:32329.059336054837
1. Zeile und 24.Spalte, Wert:31998.702935054167
1. Zeile und 25.Spalte, Wert:32116.95404428026
1. Zeile und 26.Spalte, Wert:32188.44784664347
1. Zeile und 27.Spalte, Wert:32174.02462322561
1. Zeile und 28.Spalte, Wert:31669.324447677045
1. Zeile und 29.Spalte, Wert:32246.401219507068
1. Zeile und 30.Spalte, Wert:31688.76034530404
1. Zeile und 31.Spalte, Wert:34207.0847189318
1. Zeile und 32.Spalte, Wert:31646.829405285207
1. Zeile und 33.Spalte, Wert:31666.336172061612
1. Zeile und 34.Spalte, Wert:32341.192482151604
1. Zeile und 35.Spalte, Wert:32205.184228473987
1. Zeile und 36.Spalte, Wert:32329.293223948014
1. Zeile und 37.Spalte, Wert:31975.829097839487
1. Zeile und 38.Spalte, Wert:31948.280602147897
1. Zeile und 39.Spalte, Wert:31669.552300236755
1. Zeile und 40.Spalte, Wert:31707.364315166116
1. Zeile und 41.Spalte, Wert:32034.760744451567
1. Zeile und 42.Spalte, Wert:32001.992284620697
1. Zeile und 43.Spalte, Wert:32335.296569581384
1. Zeile und 44.Spalte, Wert:31865.60199908206
1. Zeile und 45.Spalte, Wert:32328.309357037026
1. Zeile und 46.Spalte, Wert:32255.408124215406
1. Zeile und 47.Spalte, Wert:31780.81993330423
1. Zeile und 48.Spalte, Wert:32186.69769859068
1. Zeile und 49.Spalte, Wert:31675.05836847437
1. Zeile und 50.Spalte, Wert:32039.90830983707
1. Zeile und 51.Spalte, Wert:32026.265982296452
1. Zeile und 52.Spalte, Wert:31727.455472566446
1. Zeile und 53.Spalte, Wert:31889.560091278872
1. Zeile und 54.Spalte, Wert:31891.609420592682
1. Zeile und 55.Spalte, Wert:31670.97828017388
1. Zeile und 56.Spalte, Wert:31742.843342947133
1. Zeile und 57.Spalte, Wert:31970.998878638107
1. Zeile und 58.Spalte, Wert:31913.935470344717
1. Zeile und 59.Spalte, Wert:31992.504327495364
1. Zeile und 60.Spalte, Wert:32008.61625320437
1. Zeile und 61.Spalte, Wert:31822.61147838549
1. Zeile und 62.Spalte, Wert:32005.290266984597
1. Zeile und 63.Spalte, Wert:32015.568588326438
1. Zeile und 64.Spalte, Wert:31897.037168566927
1. Zeile und 65.Spalte, Wert:31543.033555568305
1. Zeile und 66.Spalte, Wert:31986.870851688793
1. Zeile und 67.Spalte, Wert:31832.77054744011
1. Zeile und 68.Spalte, Wert:31769.744957352254
1. Zeile und 69.Spalte, Wert:31682.48958629135
1. Zeile und 70.Spalte, Wert:32120.526774623002
1. Zeile und 71.Spalte, Wert:31885.620603891977
1. Zeile und 72.Spalte, Wert:31874.539593445857
1. Zeile und 73.Spalte, Wert:32143.299115712485
1. Zeile und 74.Spalte, Wert:31877.551788819484
1. Zeile und 75.Spalte, Wert:31451.90767187573
1. Zeile und 76.Spalte, Wert:31622.161145899816
1. Zeile und 77.Spalte, Wert:31967.886494543625
1. Zeile und 78.Spalte, Wert:32222.35401374389
1. Zeile und 79.Spalte, Wert:31846.471897121082
1. Zeile und 80.Spalte, Wert:31690.429604016015
1. Zeile und 81.Spalte, Wert:31742.25411343395
1. Zeile und 82.Spalte, Wert:31646.488921659646
1. Zeile und 83.Spalte, Wert:31819.79329387832
1. Zeile und 84.Spalte, Wert:31548.12748046936
1. Zeile und 85.Spalte, Wert:31588.514594234966
1. Zeile und 86.Spalte, Wert:31990.710817597505
1. Zeile und 87.Spalte, Wert:31683.621341369362
1. Zeile und 88.Spalte, Wert:31813.855700642765
1. Zeile und 89.Spalte, Wert:31610.514325267282
1. Zeile und 90.Spalte, Wert:32322.399150324138
1. Zeile und 91.Spalte, Wert:32013.43720443677
1. Zeile und 92.Spalte, Wert:31626.643479630777
1. Zeile und 93.Spalte, Wert:31705.518268892898
1. Zeile und 94.Spalte, Wert:31534.555476960424
1. Zeile und 95.Spalte, Wert:31822.84314700687
1. Zeile und 96.Spalte, Wert:32042.555665919772
1. Zeile und 97.Spalte, Wert:31842.274285544532
1. Zeile und 98.Spalte, Wert:31840.321078022323
1. Zeile und 99.Spalte, Wert:31796.01601869169
1. Zeile und 100.Spalte, Wert:32000.771628838436
2. Zeile und 0.Spalte, Wert:31816.591205772656
2. Zeile und 1.Spalte, Wert:32001.457731309823
2. Zeile und 2.Spalte, Wert:32213.238299411205
2. Zeile und 3.Spalte, Wert:31969.14948244301
2. Zeile und 4.Spalte, Wert:32095.99896269955
2. Zeile und 5.Spalte, Wert:31732.842900521657
2. Zeile und 6.Spalte, Wert:31860.137283068867
2. Zeile und 7.Spalte, Wert:32158.89728508114
2. Zeile und 8.Spalte, Wert:31487.603370085784
2. Zeile und 9.Spalte, Wert:32106.795125930294
2. Zeile und 10.Spalte, Wert:32269.946162138225
2. Zeile und 11.Spalte, Wert:31950.395905975136
2. Zeile und 12.Spalte, Wert:31670.011615643918
2. Zeile und 13.Spalte, Wert:32182.00079258537
2. Zeile und 14.Spalte, Wert:32268.06276202552
2. Zeile und 15.Spalte, Wert:32223.471276897868
2. Zeile und 16.Spalte, Wert:31680.09332501467
2. Zeile und 17.Spalte, Wert:32262.27934649989
2. Zeile und 18.Spalte, Wert:32079.975190088357
2. Zeile und 19.Spalte, Wert:32248.91013653434
2. Zeile und 20.Spalte, Wert:33659.04161409118
